Index,SPY,TLT,GLD,VXX,DBC
2009-09-09,82.2185004862,68.4706992786,97.08,55562.24,21.4793742077
2009-09-10,83.0586779711,69.7323641811,97.7,53360.64,21.595951544
2009-09-11,83.0428255657,70.11666441,98.78,54056.96,21.3142229813
2009-09-14,83.4470619028,69.4205734293,97.96,52520.96,21.1976456451
2009-09-15,83.7958148211,69.0652769913,98.9,52224,21.6930993242
2009-09-16,85.0640072513,69.1885431024,99.91,50708.48,21.9748278869
2009-09-17,84.9371880083,70.0586568283,99.34,50954.24,21.9845426649
2009-09-18,84.9913477512,69.4350753248,98.67,51916.8,21.7926757989
2009-09-21,84.7763209156,69.5945961745,98.36,51927.04,21.3142229813
2009-09-22,85.2700862418,69.7396151288,99.67,50739.2,21.6639549902
2009-09-23,84.5612940801,69.9498926126,98.83,51445.76,21.178216089
2009-09-24,83.6295111259,70.1529191486,97.55,52080.64,20.9062023044
2009-09-25,83.183529541,71.0447857176,97,52162.56,20.741051078
2009-09-28,84.6727894763,71.6683672212,97.05,50421.76,20.9256318604
2009-09-29,84.4179428563,71.6031086917,97.43,50124.8,20.8479136363
2009-09-30,84.0914206245,71.5378501623,98.85,51189.76,21.4308003176
2009-10-01,82.0048639238,72.5147500454,97.89,53606.4,21.2961534942
2009-10-02,81.6225939938,72.012892698,98.37,53483.52,21.0810683088
2009-10-05,82.8410793954,72.0201659929,99.82,51558.4,21.7611027704
2009-10-06,84.0277089696,71.3073830937,102.28,49745.92,21.4988037638
2009-10-07,84.2586637189,72.143812006,102.361,49500.2624,21.5376628759
2009-10-08,84.9037442256,71.3873893375,103.64,49234.0224,21.9651131088
2009-10-09,85.4214014224,69.7508979875,102.84,48455.68,22.0525461111
2009-10-12,85.7558876111,69.8599974108,103.56,46799.5648,22.4994259001
2009-10-13,85.5806805598,70.2236621553,104.26,46817.28,22.7520101287
2009-10-14,87.0540125814,69.1835809861,104.18,45578.24,22.9268761331
2009-10-15,87.3725708563,68.863556011,102.86,44748.8,23.1600308056
2009-10-16,86.7195263927,69.4235997174,103.18,45680.64,23.2183194737
2009-10-19,87.4362825113,69.9690968341,104.23,44451.84,23.5486219265
2009-10-20,86.9743730127,70.3473081684,103.42,44236.8,23.4029002562
2009-10-21,86.1939052391,69.9254570648,103.745,45066.24,23.8983539353
2009-10-22,87.0699404951,69.583612205,103.92,43089.92,24.0926494958
2009-10-23,86.074445886,69.059934973,103.49,43335.68,24.0052164936
2009-10-26,85.1426629318,68.1653197016,101.86,44748.8,23.5680514826
2009-10-27,84.752429045,69.0963014474,101.85,44216.32,23.4029002562
2009-10-28,83.1516737135,69.4235997174,100.73,47278.08,22.8005840188
2009-10-29,84.9356000531,68.667177049,102.688,44871.68,23.5097628144
2009-10-30,82.4747373793,69.6636184488,102.53,49377.28,22.912303966
2009-11-02,83.0799981016,69.3569130586,103.95,49879.04,23.315467254
2009-11-03,83.3428086785,68.6637087724,106.46,49930.24,23.6457697067
